월별,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024
월별,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타,입산자실화,논밭두렁소각,쓰레기소각,담뱃불실화,성묘객실화,어린이불장난,건축물화재,기타
1월,23,3,3,4,1,2,1,11,24,9,3,11,3,-,-,11,3,1,-,2,-,-,1,-,26,6,8,6,4,1,4,9,11,-,2,3,4,-,1,3,19,4,2,1,-,-,3,4,4,-,-,-,-,-,1,1,-,2,1,1,-,-,1,2,12,8,9,4,5,-,-,11,8,1,-,-,-,-,-,7,9,4,11,1,-,1,5,5,6,2,6,0,0,0,1,6,9,4,3,2,-,-,5,6,16,6,16,5,4,1,7,51,8,1,4,5,-,-,2,9,14,-,2,6,-,-,2,20,26,3,10,5,2,6,36,10,3,3,1,2,-,2,17,3,1,1,2,-,-,2,9
2월,15,15,2,4,-,3,-,2,48,32,7,10,7,5,1,12,5,8,8,24,9,1,2,13,7,9,3,1,1,2,3,6,6,6,7,4,-,-,3,4,16,9,5,1,5,1,2,1,3,3,-,-,2,-,1,-,2,14,3,1,-,2,1,7,14,19,7,2,2,2,3,5,10,7,4,-,2,2,1,14,11,9,19,3,3,-,1,16,17,7,12,1,2,1,2,14,38,14,16,5,11,1,13,32,13,12,5,4,3,-,13,11,11,6,4,6,1,1,6,7,22,7,9,9,8,1,6,20,43,13,11,7,5,12,52,21,19,20,9,6,-,9,30,1,2,2,-,-,-,-,6
3월,73,39,19,12,4,7,2,19,23,28,4,8,1,2,-,4,20,19,12,14,3,2,1,14,31,36,22,7,6,2,1,14,5,6,7,-,2,1,1,-,29,23,22,6,1,1,4,8,5,8,2,-,1,1,4,2,11,43,26,10,5,2,1,15,26,32,17,3,1,-,1,21,37,60,60,10,7,1,6,71,18,41,28,8,4,-,-,17,39,51,32,7,9,1,17,36,10,24,13,2,4,-,11,19,25,25,31,3,2,-,12,43,54,20,31,22,4,-,15,25,10,11,4,6,3,-,3,7,20,8,6,10,1,6,31,61,25,31,24,7,-,14,67,6,11,14,13,2,-,6,22
4월,24,4,6,3,-,1,1,10,62,17,5,4,12,-,1,9,35,13,13,4,5,1,2,6,85,28,22,13,16,1,5,36,12,18,8,3,7,-,1,2,30,27,8,-,5,1,2,7,18,3,6,8,3,2,1,4,28,14,7,5,3,-,2,10,85,25,19,10,1,-,4,22,18,5,3,-,2,-,3,18,27,16,15,2,7,-,5,14,50,12,23,5,6,0,3,23,33,18,9,1,6,-,5,16,38,18,22,7,9,-,11,47,64,12,11,18,3,-,15,61,52,4,4,8,4,-,2,20,66,11,20,9,3,8,63,39,5,8,15,6,1,4,30,22,5,3,12,1,1,-,23
5월,17,-,2,2,1,-,-,5,7,1,-,1,-,-,-,2,25,2,2,1,1,1,-,-,33,5,3,1,1,-,-,9,32,4,-,1,1,-,2,5,3,1,1,-,-,-,-,1,26,1,3,-,-,-,-,24,26,2,1,1,-,-,-,-,29,7,8,1,-,-,-,10,39,9,3,3,-,1,-,21,10,3,2,-,-,-,-,6,59,10,11,4,0,0,3,17,2,-,-,-,1,-,-,-,57,1,6,-,2,1,2,30,8,1,3,4,-,-,2,8,9,-,1,1,1,2,1,5,41,4,4,9,2,7,48,16,2,4,3,1,-,-,7,6,2,-,1,-,-,-,8
6월,-,-,1,-,-,-,-,-,10,5,2,-,-,-,-,1,2,-,-,-,-,-,-,-,9,3,-,-,1,-,-,4,11,3,2,1,-,-,2,2,7,1,-,-,-,-,-,1,13,3,-,-,1,-,-,18,2,1,-,-,-,-,-,3,7,1,2,1,-,-,-,2,28,9,11,3,-,-,2,35,15,4,4,-,-,-,1,4,45,7,7,3,1,0,2,21,27,3,3,-,-,-,2,10,7,2,1,1,-,-,2,2,11,4,2,5,-,-,3,13,-,-,1,-,-,-,-,2,9,-,1,5,1,1,9,5,-,1,1,-,-,-,4,3,-,1,1,-,-,3,20
7월,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,1,1,-,-,-,-,2,3,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,0,0,0,0,0,0,-,3,5,2,-,-,-,-,-,8,5,2,1,1,-,-,2,4,-,-,-,-,-,-,-,-,3,-,-,-,-,-,1,3,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8월,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,4,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,5,-,-,1,-,-,-,2,4,-,1,-,2,-,-,7,0,0,0,0,0,0,-,0,21,1,4,1,3,-,1,15,1,-,-,-,-,-,1,2,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,2,-,-,3
